name,params,category,best_val_loss,best_step,final_train_loss,peak_vram_mb
baseline_6L_s42,6852608,baseline,4.7597,1500,1.991,0
baseline_8L_s42,8432128,baseline,4.6562,3250,2.2186,0
baseline_6L_s137,6852608,baseline,4.6382,1750,2.3739,0
baseline_8L_s137,8432128,baseline,4.6349,2000,2.499,0
baseline_6L_s256,6852608,baseline,4.7338,1750,1.8005,0
baseline_8L_s256,8432128,baseline,4.654,2000,2.3892,0
afmt_v1_s42,8235526,afmt,4.7483,1750,2.2973,0
afmt_v2_s42,8432902,afmt,4.7666,3250,2.4901,0
afmt_v1_s137,8235526,afmt,4.6767,2500,2.5633,0
afmt_v2_s137,8432902,afmt,4.8287,2750,2.4978,0
afmt_v1_s256,8235526,afmt,4.6626,1750,2.4464,0
afmt_v2_s256,8432902,afmt,4.6929,2750,2.4624,0
simplemem_6L_s42,7200000,simplemem,4.6129,2000,2.2996,0
simplemem_6L_s137,7200000,simplemem,4.7255,2750,2.558,0
simplemem_6L_s256,7200000,simplemem,4.5982,3000,2.4527,0
sweep_n128_L1_s42,0,sweep,4.656,3000,2.2877,0
sweep_n128_L1_s137,0,sweep,4.7006,2000,2.5519,0
sweep_n128_L1_s256,0,sweep,4.6878,3000,2.4521,0
sweep_n256_L1_s42,0,sweep,4.7493,2250,2.3141,0
sweep_n256_L1_s137,0,sweep,4.6676,2000,2.5608,0
sweep_n256_L1_s256,0,sweep,4.7533,2000,2.4665,0
sweep_n512_L1_s42,0,sweep,4.6872,3000,2.3059,0
sweep_n512_L1_s137,0,sweep,4.7255,2750,2.558,0
sweep_n512_L1_s256,0,sweep,4.5982,3000,2.4527,0
sweep_n1024_L1_s42,0,sweep,4.748,2000,2.3007,0
sweep_n1024_L1_s137,0,sweep,4.6859,2000,2.5809,0
sweep_n1024_L1_s256,0,sweep,4.6708,2250,2.4397,0
sweep_n512_L2_s42,0,sweep,4.7271,1750,2.3044,0
sweep_n512_L2_s137,0,sweep,4.7393,2000,2.5686,0
sweep_n512_L2_s256,0,sweep,4.7317,2000,2.4463,0
sweep_n512_L3_s42,0,sweep,4.7848,2000,2.2916,0
sweep_n512_L3_s137,0,sweep,4.7565,2000,2.5707,0
sweep_n512_L3_s256,0,sweep,4.7844,2000,2.4529,0
retrieval_n512_s42,7182081,retrieval,4.795,2000,2.2417,0
retrieval_n512_s137,7182081,retrieval,4.5951,2750,2.4099,0
retrieval_n512_s256,7182081,retrieval,4.562,2750,2.6646,0
retrieval_n8000_s42,7182081,retrieval,4.7962,2000,2.239,0
retrieval_n8000_s137,7182081,retrieval,4.6254,2500,2.4081,0
retrieval_n8000_s256,7182081,retrieval,4.5664,2750,2.6609,0
retrieval_n50000_s42,7182081,retrieval,4.7779,2250,2.2407,0
retrieval_n50000_s137,7182081,retrieval,4.6087,2000,2.4075,0
retrieval_n50000_s256,7182081,retrieval,4.5681,2750,2.6636,0
hier_n512_s42,7200000,hierarchical,4.7951,2500,2.238,0
hier_n512_s137,7200000,hierarchical,4.5675,2250,2.4076,0
hier_n512_s256,7200000,hierarchical,4.6274,2750,2.6715,0
phase2_350M,353000000,offload,4.8753,3500,3.5021,6860
phase2_1B,1030000000,offload,5.116,1600,5.2353,8331
